0.724	1.3426	C
1.3426	1.9611	Eb
1.9611	2.5797	F#
2.5797	3.1982	A
3.1982	3.9714	C
3.9714	4.2807	Db
4.2807	5.6725	D
5.6725	6.291	C
6.291	6.7549	D
6.7549	8.1467	G
8.1467	8.6106	C
8.6106	9.2292	D
9.2292	10.6209	G
10.6209	11.2395	C
11.2395	11.7034	D
11.7034	12.3219	Bm7
12.3219	13.0951	Bbdim7
13.0951	13.4044	C
13.4044	13.7137	Db
13.7137	14.023	F#
14.023	14.3322	B
14.3322	14.9508	A
14.9508	16.8065	D
16.8065	17.425	G
17.425	18.0436	EbM7
18.0436	18.6621	Am7
18.6621	19.2807	D7
19.2807	19.8993	G
19.8993	20.5178	EbM7
20.5178	21.1364	Am7
21.1364	21.7549	D7
21.7549	22.3735	Gadd9/B
22.3735	22.992	Bbdim7
22.992	23.6106	Am7
23.6106	24.2292	D7
24.2292	26.3941	C7
26.3941	26.7034	D7
26.7034	27.3219	G
27.3219	27.9405	EbM7
27.9405	28.5591	Am7
28.5591	29.1776	D7
29.1776	29.7962	Gadd9/B
29.7962	30.4147	Bb7(13)
30.4147	31.0333	Am7
31.0333	31.3426	D7
31.3426	31.6518	D7/C
31.6518	32.1158	Bm
32.1158	32.8889	C
32.8889	33.3529	D
33.3529	34.1261	Em
34.1261	38.1467	N.C.
38.1467	38.456	AbM7
38.456	39.0745	G
39.0745	40.3116	Dbm7-5
40.3116	41.5487	Cm6
41.5487	42.7859	Gadd9/B
42.7859	44.023	Em7
44.023	45.2601	Am7
45.2601	46.4972	D7
46.4972	47.7343	GM7
47.7343	48.9714	G7
48.9714	50.0539	Dbm7-5
50.0539	51.4456	F#7(b9)
51.4456	52.6828	F6
52.6828	53.9199	E7
53.9199	54.5384	C
54.5384	55.157	Eb
55.157	55.7755	F#
55.7755	56.3941	A
56.3941	56.7034	Db/Eb
56.7034	57.0127	Eb/Ab
57.0127	57.3219	E/A
57.3219	57.6312	F#7/E
57.6312	57.9405	Aaug/G
57.9405	58.2498	Caug
58.2498	58.5591	Aaug
58.5591	58.8683	D
58.8683	60.1054	G
60.1054	61.3426	Gaug
61.3426	62.5797	C/E
62.5797	63.8168	Eb6
63.8168	65.0539	G/D
65.0539	66.291	A7
66.291	67.3735	CM7
67.3735	67.992	F
67.992	68.7652	D
68.7652	70.0024	G/B
70.0024	71.2395	CM7
71.2395	71.7034	D
71.7034	72.3219	Ebdim7
72.3219	73.0951	Em
73.0951	73.4044	Dm7
73.4044	73.7137	G7
73.7137	74.3322	Dbm7-5
74.3322	74.9508	CM7
74.9508	75.5694	Gadd9/B
75.5694	76.1879	E7
76.1879	76.4972	Am
76.4972	76.8065	G/B
76.8065	77.1158	C
77.1158	77.425	G/D
77.425	77.7343	Eb
77.7343	78.0436	F
78.0436	78.3529	Eb/G
78.3529	78.6621	F
78.6621	81.1364	G
81.1364	81.7549	C
81.7549	82.2188	D
82.2188	83.6106	G
83.6106	84.0745	C
84.0745	84.6931	D
84.6931	86.0848	G
86.0848	86.7034	C
86.7034	87.1673	D
87.1673	87.7859	Bm7
87.7859	88.5591	Bbdim7
88.5591	89.1776	Eb7
89.1776	89.7962	D7
89.7962	92.8889	G
92.8889	93.5075	EbM7
93.5075	94.1261	Am7
94.1261	94.7446	D7
94.7446	95.3632	G
95.3632	95.9817	EbM7
95.9817	96.6003	Am7
96.6003	97.2188	D7
97.2188	97.8374	Gadd9/B
97.8374	98.456	Bbdim7
98.456	99.0745	Am7
99.0745	99.6931	D7
99.6931	101.858	C7
101.858	102.1673	D7
102.1673	102.7859	G
102.7859	103.4044	EbM7
103.4044	104.023	Am7
104.023	104.6415	D7
104.6415	105.2601	G
105.2601	105.8786	Bb
105.8786	107.1158	C
107.1158	107.5797	Bm
107.5797	108.3529	C
108.3529	108.8168	D
108.8168	109.59	Em
109.59	113.6106	N.C.
113.6106	113.9199	AbM7
113.9199	114.5384	G
114.5384	115.7755	Dbm7-5
115.7755	117.0127	Cm6
117.0127	118.2498	Gadd9/B
118.2498	119.4869	Em7
119.4869	120.724	Am7
120.724	121.9611	D7
121.9611	123.1982	GM7
123.1982	124.4353	G7
124.4353	125.5178	Dbm7-5
125.5178	126.9096	F#7(b9)
126.9096	128.1467	F6
128.1467	129.3838	E7
129.3838	130.0024	C
130.0024	130.6209	Eb
130.6209	131.2395	F#
131.2395	131.858	A
131.858	132.1673	Db/Eb
132.1673	132.4766	Eb/Ab
132.4766	132.7859	E/A
132.7859	133.0951	F#7/E
133.0951	133.4044	Aaug/G
133.4044	133.7137	Caug
133.7137	134.023	Aaug
134.023	134.3322	D
134.3322	135.5694	G
135.5694	136.8065	Gaug
136.8065	138.0436	C/E
138.0436	139.2807	Eb6
139.2807	140.5178	G/D
140.5178	141.7549	A7
141.7549	142.8374	CM7
142.8374	143.456	F
143.456	144.2292	D
144.2292	145.4663	G/B
145.4663	146.7034	CM7
146.7034	147.1673	D
147.1673	147.7859	Ebdim7
147.7859	148.5591	Em
148.5591	148.8683	Dm7
148.8683	149.1776	G7
149.1776	149.7962	Dbm7-5
149.7962	150.4147	CM7
150.4147	151.0333	Gadd9/B
151.0333	151.6518	E7
151.6518	151.9611	Am
151.9611	152.2704	G/B
152.2704	152.5797	C
152.5797	152.8889	G/D
152.8889	153.1982	Eb
153.1982	153.5075	F
153.5075	153.8168	Eb/G
153.8168	154.1261	F
154.1261	156.6003	G
156.6003	157.2188	C
157.2188	157.6828	D
157.6828	159.0745	G
159.0745	159.6931	C
159.6931	160.157	D
160.157	161.5487	G
161.5487	162.0127	C
162.0127	162.6312	D
162.6312	163.4044	Ebdim7
163.4044	164.023	Em
164.023	165.1054	Eb
165.1054	166.4972	D
166.4972	168.9714	C7
168.9714	171.4456	G7
171.4456	173.7652	C7
173.7652	176.3941	G7
176.3941	178.8683	C7
